iter	Passed	Remaining
445	1161	1443
446	1164	1440
447	1167	1438
448	1170	1435
449	1172	1433
450	1174	1430
451	1176	1426
452	1178	1423
453	1180	1419
454	1181	1415
455	1183	1412
456	1186	1409
457	1187	1405
458	1189	1402
459	1191	1398
460	1193	1395
461	1195	1391
462	1196	1388
463	1198	1384
464	1200	1381
465	1203	1378
466	1205	1375
467	1207	1372
468	1208	1368
469	1210	1365
470	1212	1361
471	1214	1358
472	1217	1356
473	1219	1353
474	1221	1350
475	1224	1347
476	1226	1344
477	1227	1340
478	1229	1337
479	1231	1334
480	1233	1331
481	1235	1327
482	1237	1324
483	1239	1321
484	1241	1317
485	1242	1314
486	1244	1311
487	1247	1309
488	1250	1306
489	1252	1303
490	1254	1300
491	1255	1296
492	1257	1293
493	1259	1290
494	1261	1286
495	1263	1283
496	1265	1280
497	1267	1277
498	1269	1275
499	1271	1271
500	1273	1268
501	1275	1265
502	1277	1261
503	1279	1258
504	1281	1255
505	1283	1252
506	1285	1249
507	1286	1246
508	1288	1243
509	1290	1239
510	1292	1236
511	1293	1233
512	1296	1230
513	1297	1227
514	1299	1223
515	1301	1220
516	1303	1217
517	1305	1214
518	1307	1211
519	1308	1208
520	1311	1205
521	1312	1202
522	1314	1199
523	1316	1196
524	1318	1193
525	1321	1190
526	1323	1187
527	1324	1184
528	1326	1181
529	1329	1178
530	1331	1175
531	1333	1173
532	1335	1169
533	1336	1166
534	1338	1163
535	1340	1160
536	1342	1157
537	1344	1154
538	1346	1151
539	1348	1148
540	1350	1145
541	1351	1142
542	1353	1138
543	1355	1135
544	1356	1132
545	1358	1129
546	1360	1126
547	1362	1123
548	1364	1120
549	1365	1117
550	1367	1114
551	1369	1111
552	1370	1108
553	1372	1105
554	1375	1102
555	1376	1099
556	1378	1096
557	1380	1093
558	1382	1090
559	1383	1087
560	1385	1083
561	1386	1080
562	1388	1077
563	1390	1074
564	1392	1071
565	1393	1068
566	1395	1065
567	1397	1062
568	1399	1059
569	1400	1056
570	1402	1053
571	1403	1050
572	1406	1047
573	1408	1045
574	1410	1042
575	1412	1039
576	1414	1037
577	1417	1034
578	1423	1035
579	1426	1032
580	1429	1030
581	1431	1028
582	1434	1025
583	1436	1023
584	1439	1021
585	1441	1018
586	1443	1015
587	1446	1013
588	1448	1010
589	1451	1008
590	1454	1006
591	1457	1004
592	1460	1002
593	1463	1000
594	1466	997
595	1468	995
596	1471	993
597	1473	990
598	1476	988
599	1479	986
600	1481	983
601	1485	981
602	1487	979
603	1489	976
604	1491	974
605	1494	971
606	1496	968
607	1498	966
608	1501	964
609	1504	961
610	1505	958
611	1508	956
612	1510	953
613	1512	951
614	1516	949
615	1518	946
616	1521	944
617	1523	941
618	1526	939
619	1528	936
620	1531	934
621	1533	931
622	1535	929
623	1538	927
624	1540	924
625	1542	921
626	1545	919
627	1547	916
628	1550	914
629	1552	911
630	1554	909
631	1557	906
632	1560	904
633	1563	902
634	1565	899
635	1567	897
636	1570	894
637	1571	891
638	1573	888
639	1574	885
640	1576	882
