iter	Passed	Remaining
437	1379	1770
438	1382	1767
439	1385	1763
440	1388	1759
441	1391	1756
442	1393	1752
443	1397	1749
444	1400	1746
445	1402	1742
446	1405	1738
447	1407	1734
448	1410	1731
449	1414	1728
450	1417	1725
451	1420	1721
452	1422	1718
453	1425	1714
454	1428	1711
455	1431	1708
456	1435	1705
457	1437	1701
458	1440	1697
459	1443	1694
460	1446	1691
461	1448	1687
462	1451	1683
463	1454	1679
464	1456	1676
465	1459	1672
466	1462	1669
467	1465	1665
468	1467	1662
469	1470	1658
470	1473	1654
471	1477	1652
472	1479	1648
473	1482	1644
474	1484	1641
475	1487	1637
476	1490	1633
477	1493	1631
478	1496	1627
479	1498	1623
480	1501	1620
481	1504	1616
482	1507	1613
483	1510	1610
484	1513	1607
485	1516	1603
486	1518	1600
487	1521	1596
488	1525	1593
489	1528	1590
490	1531	1587
491	1534	1583
492	1536	1580
493	1539	1577
494	1542	1573
495	1545	1570
496	1547	1566
497	1550	1562
498	1553	1559
499	1556	1556
500	1559	1553
501	1562	1549
502	1564	1546
503	1568	1543
504	1572	1540
505	1575	1537
506	1577	1534
507	1580	1530
508	1583	1527
509	1585	1523
510	1589	1520
511	1592	1517
512	1594	1513
513	1597	1510
514	1600	1506
515	1602	1503
516	1606	1500
517	1608	1496
518	1611	1493
519	1614	1489
520	1616	1486
521	1619	1483
522	1622	1479
523	1625	1476
524	1628	1472
525	1630	1469
526	1633	1465
527	1636	1463
528	1639	1459
529	1642	1456
530	1645	1453
531	1648	1450
532	1651	1447
533	1654	1444
534	1657	1440
535	1660	1437
536	1663	1433
537	1665	1430
538	1669	1428
539	1672	1424
540	1675	1421
541	1677	1417
542	1680	1414
543	1683	1411
544	1687	1408
545	1689	1405
546	1692	1401
547	1695	1398
548	1698	1395
549	1702	1392
550	1705	1389
551	1708	1386
552	1711	1383
553	1714	1380
554	1718	1378
555	1721	1374
556	1724	1371
557	1726	1367
558	1729	1364
559	1733	1361
560	1736	1358
561	1739	1355
562	1742	1352
563	1744	1348
564	1748	1346
565	1751	1343
566	1754	1339
567	1757	1336
568	1759	1333
569	1763	1330
570	1766	1327
571	1769	1323
572	1772	1320
573	1775	1317
574	1778	1314
575	1781	1311
576	1784	1307
577	1786	1304
578	1789	1301
579	1792	1298
580	1796	1295
581	1798	1292
582	1802	1288
583	1804	1285
584	1807	1282
585	1810	1279
586	1813	1276
587	1816	1272
588	1819	1269
589	1822	1266
590	1824	1262
591	1828	1260
592	1831	1257
593	1834	1254
594	1837	1250
595	1840	1247
596	1844	1245
597	1847	1241
598	1850	1238
599	1852	1235
600	1855	1231
601	1858	1228
602	1861	1225
603	1864	1222
604	1866	1218
605	1869	1215
606	1871	1212
607	1875	1208
608	1878	1205
609	1880	1202
610	1883	1199
611	1886	1195
612	1888	1192
613	1892	1189
614	1894	1186
615	1897	1182
616	1900	1179
617	1902	1176
618	1905	1172
619	1908	1169
620	1911	1166
621	1914	1163
622	1916	1159
623	1919	1156
624	1922	1153
625	1925	1150
626	1928	1147
627	1931	1144
628	1933	1140
629	1936	1137
630	1940	1134
631	1943	1131
632	1946	1128
633	1948	1125
634	1951	1121
635	1954	1118
636	1958	1115
637	1961	1112
638	1963	1109
639	1966	1106
640	1969	1102
641	1972	1100
642	1975	1096
643	1977	1093
644	1980	1090
645	1983	1086
646	1986	1083
647	1989	1080
648	1992	1077
649	1994	1074
650	1997	1070
651	2000	1067
652	2003	1064
653	2006	1061
654	2009	1058
655	2011	1054
656	2014	1051
657	2017	1048
658	2020	1045
659	2023	1042
660	2025	1038
661	2028	1035
662	2031	1032
663	2034	1029
664	2037	1026
665	2040	1023
666	2043	1020
667	2046	1017
668	2049	1013
669	2052	1011
670	2055	1007
671	2058	1004
672	2061	1001
673	2063	998
674	2066	995
675	2070	992
676	2072	989
677	2075	985
678	2078	982
679	2081	979
680	2084	976
681	2087	973
682	2091	970
683	2094	967
684	2097	964
685	2100	961
686	2103	958
687	2106	955
688	2109	952
689	2111	948
690	2115	945
691	2118	942
692	2120	939
693	2123	936
694	2126	933
695	2129	929
696	2132	927
697	2135	924
698	2138	920
699	2141	917
700	2143	914
701	2146	911
702	2150	908
703	2153	905
704	2156	902
705	2159	899
706	2162	896
707	2165	893
708	2168	889
709	2170	886
710	2173	883
711	2176	880
712	2180	877
713	2183	874
714	2185	871
715	2188	868
716	2191	864
717	2194	861
718	2197	858
719	2200	855
720	2203	852
721	2205	849
722	2208	846
723	2211	843
724	2214	840
725	2217	836
726	2219	833
727	2222	830
728	2225	827
729	2228	824
730	2231	821
731	2234	817
732	2236	814
733	2239	811
734	2242	808
735	2245	805
736	2248	802
737	2251	799
738	2255	796
739	2258	793
740	2262	790
741	2266	787
742	2269	784
743	2272	781
744	2276	779
745	2279	776
746	2283	773
747	2286	770
748	2290	767
749	2295	765
750	2298	762
751	2301	759
752	2304	756
753	2309	753
754	2312	750
755	2315	747
756	2319	744
757	2322	741
758	2326	738
759	2329	735
760	2333	732
761	2338	730
762	2342	727
763	2345	724
764	2349	721
765	2352	718
766	2355	715
767	2358	712
768	2361	709
769	2364	706
770	2367	703
771	2370	700
772	2373	697
773	2376	693
774	2379	690
775	2382	687
776	2385	684
777	2389	681
778	2391	678
779	2394	675
780	2397	672
781	2400	669
782	2403	666
783	2406	663
784	2409	660
785	2414	657
786	2418	654
787	2423	651
788	2427	649
789	2431	646
790	2435	643
791	2439	640
792	2443	637
793	2447	635
794	2452	632
795	2456	629
796	2461	626
797	2466	624
798	2470	621
799	2474	618
800	2479	615
801	2484	613
802	2488	610
803	2492	607
804	2495	604
805	2498	601
806	2503	598
807	2506	595
808	2510	592
809	2514	589
810	2518	586
811	2522	583
812	2525	580
813	2529	578
814	2533	575
815	2537	572
816	2540	569
817	2544	566
818	2548	563
819	2553	560
820	2556	557
821	2560	554
822	2564	551
823	2568	548
824	2572	545
825	2576	542
826	2580	539
827	2583	536
828	2587	533
829	2590	530
830	2594	527
831	2598	524
832	2601	521
833	2604	518
834	2608	515
835	2612	512
836	2616	509
837	2619	506
838	2622	503
839	2627	500
840	2630	497
841	2634	494
842	2637	491
843	2641	488
844	2645	485
845	2648	482
846	2652	479
847	2655	475
848	2659	472
849	2663	469
850	2666	466
851	2670	463
852	2673	460
853	2677	457
854	2680	454
855	2683	451
856	2687	448
857	2690	445
858	2694	442
859	2697	439
860	2700	436
861	2704	432
862	2708	429
863	2711	426
864	2714	423
865	2717	420
866	2720	417
867	2725	414
868	2728	411
869	2733	408
870	2736	405
871	2741	402
872	2744	399
873	2747	396
874	2750	392
875	2754	389
876	2757	386
877	2761	383
878	2764	380
879	2767	377
880	2771	374
881	2774	371
882	2778	368
883	2781	365
884	2784	361
885	2787	358
886	2791	355
887	2794	352
888	2797	349
889	2800	346
890	2803	343
891	2807	339
892	2810	336
893	2813	333
894	2816	330
895	2820	327
896	2823	324
897	2826	321
898	2829	317
899	2832	314
900	2836	311
901	2839	308
902	2842	305
903	2845	302
904	2848	299
905	2852	295
906	2855	292
907	2858	289
908	2861	286
909	2865	283
910	2869	280
911	2872	277
912	2875	274
913	2878	270
914	2882	267
915	2885	264
916	2889	261
917	2892	258
918	2895	255
919	2898	252
920	2901	248
921	2904	245
922	2907	242
923	2910	239
924	2913	236
925	2917	233
926	2919	229
927	2922	226
928	2925	223
929	2928	220
930	2932	217
931	2935	214
932	2938	210
933	2941	207
934	2943	204
935	2947	201
936	2950	198
937	2953	195
938	2956	192
939	2959	188
940	2962	185
941	2965	182
942	2968	179
943	2971	176
944	2974	173
945	2977	169
946	2980	166
947	2984	163
948	2987	160
949	2990	157
950	2993	154
951	2996	151
952	2999	147
953	3002	144
954	3005	141
955	3008	138
956	3012	135
957	3015	132
958	3018	129
959	3020	125
960	3023	122
961	3027	119
962	3031	116
963	3034	113
964	3036	110
965	3039	106
966	3043	103
967	3046	100
968	3049	97
969	3052	94
970	3054	91
971	3057	88
972	3061	84
973	3064	81
974	3067	78
975	3070	75
976	3073	72
977	3076	69
978	3079	66
979	3083	62
980	3085	59
981	3088	56
982	3092	53
983	3095	50
984	3098	47
985	3101	44
986	3104	40
987	3107	37
988	3110	34
989	3113	31
990	3116	28
991	3119	25
992	3123	22
993	3126	18
994	3129	15
995	3132	12
996	3134	9
997	3138	6
998	3141	3
999	3143	0
