iter	Logloss
0	0.6827620332
1	0.6724406275
2	0.662912303
3	0.6544004544
4	0.6453780752
5	0.6371496041
6	0.6266362984
7	0.6180824317
8	0.6093295995
9	0.6008847993
10	0.5918969215
11	0.5838900411
12	0.5762906004
13	0.5679214553
14	0.5607446003
15	0.552981372
16	0.5457024786
17	0.5377649016
18	0.53160674
19	0.5243233366
20	0.5200301297
21	0.5137279116
22	0.5085339476
23	0.5024390385
24	0.4975671627
25	0.4917859984
26	0.485446385
27	0.480199391
28	0.4756651254
29	0.4701104
30	0.4652785127
31	0.4603166251
32	0.4562114471
33	0.4508497868
34	0.4446445334
35	0.4403818065
36	0.4354054493
37	0.430389066
38	0.426114989
39	0.4217359797
40	0.4181777879
41	0.4146340281
42	0.4115447622
43	0.4072142352
44	0.4028145926
45	0.399313114
46	0.3952850943
47	0.3912893587
48	0.3877626992
49	0.3849872909
50	0.3817135665
51	0.378162027
52	0.3754482175
53	0.3721474709
54	0.3691407002
55	0.3656608318
56	0.3629402198
57	0.3606512511
58	0.3580524463
59	0.3544493426
60	0.3521483097
61	0.3490504373
62	0.3464740697
63	0.344705328
64	0.3423362319
65	0.3394071081
66	0.3367569646
67	0.3343256307
68	0.3318211598
69	0.329744837
70	0.3276943714
71	0.3260047424
72	0.3239519467
73	0.3221470123
74	0.3201863707
75	0.3180720513
76	0.3162925232
77	0.3140463242
78	0.3118621751
79	0.3100506449
80	0.3079927003
81	0.3058298233
82	0.3045780577
83	0.3029305594
84	0.3015120934
85	0.2999187902
86	0.2982813455
87	0.2964508357
88	0.2954452778
89	0.2934616164
90	0.2918371003
91	0.2905917614
92	0.289557659
93	0.2880259171
94	0.286749572
95	0.2853273476
96	0.2835249501
97	0.2820022094
98	0.2809784236
99	0.2796777622
100	0.278402507
101	0.2769396928
102	0.2755504665
103	0.2743050524
104	0.2729598924
105	0.2713629624
106	0.2706765612
107	0.2697294827
108	0.2690101962
109	0.2675894376
110	0.2661037163
111	0.2657205366
112	0.264558219
113	0.2633353548
114	0.2625403193
115	0.2613993114
116	0.2600026248
117	0.2588445917
118	0.2578513423
119	0.2565604337
120	0.2556321468
121	0.2543024148
122	0.2533892176
123	0.2522332704
124	0.2515640823
125	0.2504478417
126	0.2497318813
127	0.2490844914
128	0.2484397512
129	0.247562897
130	0.2466944427
131	0.2458769136
132	0.2452211427
133	0.2446780275
134	0.2434881426
135	0.2427973066
136	0.2419321032
137	0.2410550235
138	0.2397150312
139	0.2385640262
140	0.237855977
141	0.2371285725
142	0.2363481193
143	0.2356390366
144	0.2349099972
145	0.2340844065
146	0.2330727789
147	0.2325415024
148	0.231586212
149	0.2309916642
150	0.2301736277
151	0.2296648072
152	0.2289768087
153	0.2281789733
154	0.2275206843
155	0.2266832173
156	0.2258248541
157	0.2252241238
158	0.2242412285
159	0.2234074447
160	0.2229454341
161	0.2224877644
162	0.2216689387
163	0.2211592726
164	0.2203274055
165	0.2197514802
166	0.2192256721
167	0.2186300343
168	0.2182767896
169	0.2176208872
170	0.2171495184
171	0.2166292162
172	0.2162173605
173	0.2157064353
174	0.2154056004
175	0.2146657558
176	0.2139031922
177	0.2135628573
178	0.2129587446
179	0.2124552609
180	0.2120869453
181	0.2114833587
182	0.2110230958
183	0.2106820656
184	0.2102812029
185	0.2097397602
186	0.2091908948
187	0.2087317406
188	0.2082897618
189	0.2077613793
190	0.2071689361
191	0.206877497
192	0.2062159007
193	0.2056496719
194	0.2052398456
195	0.2047270225
196	0.2039847538
197	0.2035146441
198	0.203161249
199	0.2028492895
200	0.2024514335
201	0.2020667316
202	0.2016395982
203	0.2011439507
204	0.2009332215
205	0.2005860465
206	0.2000124137
207	0.1995909555
208	0.1992215687
209	0.1991413661
210	0.1987438484
211	0.1983819407
212	0.1979957731
213	0.1974526203
214	0.1971366582
215	0.1968681448
216	0.1964916737
217	0.1962041808
218	0.195830472
219	0.1956168302
220	0.1954199504
221	0.1949220103
222	0.194759181
223	0.1943372153
224	0.1940207646
225	0.1937234437
226	0.1933573455
227	0.193120947
228	0.1926303356
229	0.1922619824
230	0.1919468847
231	0.1917889788
232	0.1913536335
233	0.1909658122
234	0.19064534
235	0.1901412363
236	0.1896232643
237	0.1894096224
238	0.1892018436
239	0.1888454418
240	0.1882530551
241	0.1879314178
242	0.1874217517
243	0.1871479204
244	0.1863669034
245	0.1859733506
246	0.1856424679
247	0.1855092166
248	0.1853006297
249	0.1849527406
250	0.1847020041
251	0.1844452167
252	0.1843072675
253	0.1838240976
254	0.183479591
255	0.1830815658
256	0.1827678023
257	0.1826396247
258	0.1821215775
259	0.1818026463
260	0.18133808
261	0.1811219201
262	0.1809158325
263	0.180683944
264	0.1805003876
265	0.1800671094
266	0.1796814115
267	0.1793245588
268	0.1788981583
269	0.1787453637
270	0.1783930962
271	0.1780867177
272	0.1779092497
273	0.1777818426
274	0.1774880921
275	0.1771060962
276	0.1766709953
277	0.1764547414
278	0.1762062035
279	0.1758865206
280	0.1757182605
281	0.1755233163
282	0.1752891916
283	0.1750138757
284	0.1746545801
285	0.1743990518
286	0.1742688259
287	0.1740077916
288	0.1736491349
289	0.1731225
290	0.1727481335
291	0.1724743397
292	0.1722115578
293	0.1718948439
294	0.1717462023
295	0.1714824432
296	0.1711903088
297	0.170847625
298	0.1706743287
299	0.1704222017
300	0.1701565071
301	0.170009707
302	0.1698523836
303	0.1696492839
304	0.1692460159
305	0.1689349395
306	0.1686313047
307	0.1684226802
308	0.1680987504
309	0.1675744268
310	0.167159057
311	0.1670273654
312	0.1666543519
313	0.1662256025
314	0.1660255282
315	0.1657689287
316	0.1654828828
317	0.1651622227
318	0.1649283423
319	0.1647311056
320	0.1645276676
321	0.1640982416
322	0.1637418399
323	0.1635216398
324	0.1632591774
325	0.163068762
326	0.1626436581
327	0.1624172568
328	0.1621255546
329	0.1616854362
330	0.1614447908
331	0.1612686759
332	0.1609171788
333	0.1604575923
334	0.1602401358
335	0.1599829162
336	0.1596910636
337	0.1594373017
338	0.1590358189
339	0.158820655
340	0.1585429525
341	0.1584027295
342	0.158229001
343	0.1578501997
344	0.1574394245
345	0.1571419251
346	0.1569207666
347	0.1567577494
348	0.1566502238
349	0.1562937657
350	0.1560202725
351	0.1557891169
352	0.1557366226
353	0.1554472975
354	0.1552814709
355	0.1549830883
356	0.1546849406
357	0.1545491148
358	0.1542496517
359	0.1540840976
360	0.1539538529
361	0.1537675998
362	0.1536060765
363	0.1533251607
364	0.1531404392
365	0.1529860661
366	0.1527553897
367	0.1525095108
368	0.152242482
369	0.1518627411
370	0.1516439504
371	0.1513428148
372	0.1511604422
373	0.1510570319
374	0.1508736822
375	0.1506369924
376	0.1504637995
377	0.1501717967
378	0.1499943851
379	0.1498104716
380	0.1496082174
381	0.149338539
382	0.1491015392
383	0.1487677438
384	0.1486455889
385	0.1485120557
386	0.1483609993
387	0.1480752165
388	0.1478227136
389	0.1475719583
390	0.1473499636
391	0.1472317268
392	0.1470693391
393	0.1467084838
394	0.1463585652
395	0.146244688
396	0.1461224673
397	0.1459769263
398	0.1456823772
399	0.145476299
400	0.1453112992
401	0.1449591914
402	0.1447539494
403	0.1444973123
404	0.1443196377
405	0.1440245154
406	0.1438324369
407	0.1437018446
408	0.1434843129
409	0.1433213896
410	0.1431584945
411	0.1429798897
412	0.1426909404
413	0.1423814896
414	0.1422394626
415	0.1420787943
416	0.1417374259
417	0.1416413256
418	0.1414155631
419	0.1412279946
420	0.1409604491
421	0.1406108405
422	0.1403440278
423	0.1402163764
424	0.1401006952
425	0.1398578888
426	0.1397330561
427	0.1394404801
428	0.1391986415
