,Model,Accuracy,Precision,Recall,F1 Score,Best Params
3,CatBoost,0.9264705882352942,0.9264833402288558,0.9264705882352942,0.92645465553502,"{'depth': 4, 'learning_rate': 0.1}"
1,RandomForest,0.9215686274509803,0.9220995941897069,0.9215686274509803,0.921477850399419,"{'max_depth': 10, 'n_estimators': 200}"
2,XGBoost,0.9166666666666666,0.9169322388540158,0.9166666666666666,0.9166003936217215,"{'max_depth': 3, 'n_estimators': 200}"
0,LogisticRegression,0.8872549019607843,0.8872487621120323,0.8872549019607843,0.8872304718203642,{'C': 1}
